Activity ID,Activity Date,Activity Name,Activity Type,Elapsed Time,Distance in kilometers,Moving Time,Total Steps,Media
15087661689,"Jul 12, 2025, 9:55:34 AM",Run/walk in Berlin!,Run,2465,3.92,1876,3718,media/0389BF09-A495-4CEC-AF2A-864315AB0453.jpg
15502638847,"Aug 18, 2025, 4:25:00 PM",First run/walk back in NOLA #Audubon,Run,1612,3.34,1587,3428,media/60988621-F984-4ED2-A738-59CD9198FA8B.jpg
15923926582,"Sep 24, 2025, 5:19:47 PM",Run/walk in Audubon,Run,1967,3.29,1967,3986,media/B6478071-5F1B-4B09-BD14-8F0018158950.jpg
