Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
15087661689,"Jul 12, 2025, 9:55:34 AM",Run/walk in Berlin!,Run,"",2465,3.92,,,false,,,activities/15087661689.gpx,,,2465.0,1876.0,3920.5,4.46,2.09,0.0,3.5,35.5,39.1,4.4,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3920.0,1752310784.0,5.0,16.5,14.6,14.7,0.89,1008.7,3.2,7.3,291.0,1.3,1752289152.0,1752348288.0,0.625,,,0.99,5.0,0.99,4993.0,3.0,,,,,0.0,1.59,1766.8,,,,3718.0,,,,,2.09,,,,,,,,media/CE3775B4-7CB0-45B9-8FAA-2381E9244381.mp4|media/0389BF09-A495-4CEC-AF2A-864315AB0453.jpg
15169534927,"Jul 19, 2025, 7:32:29 PM",Back home run!,Run,"",2999,4.37,,,false,,,activities/15169534927.gpx,,,2999.0,1485.0,4376.8,4.6,2.947,66.3,78.0,63.1,133.7,39.3,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4333.1,1752951552.0,1.0,23.8,24.8,17.7,0.69,1014.9,2.7,4.2,191.0,0.0,1752929792.0,1752980608.0,0.875,,,0.0,1.0,0.25,23387.0,9.0,,,,,0.0,1.459,0.0,,,,3450.0,0.0,,,,2.918,,,,,,,,media/4015AB8F-77C4-4984-90DC-CFFB6264F753.mp4
15180836236,"Jul 20, 2025, 7:55:42 PM",Run from home to lunch,Run,"",1372,3.71,,,false,,,activities/15180836236.gpx,,,1372.0,1312.0,3716.4,4.76,2.833,0.0,77.8,55.2,138.3,2.4,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3573.0,1753037952.0,2.0,23.8,24.8,17.8,0.69,1014.6,1.9,2.8,200.0,0.0,1753016192.0,1753067008.0,0.875,,,0.0,1.0,0.53,22473.0,8.0,,,,,0.0,2.709,0.0,,,,3334.0,0.0,,,,2.723,,,,,,,,""
15202244274,"Jul 22, 2025, 7:36:29 PM",Home to BHTC,Run,"",1099,2.84,,,false,,,activities/15202244274.gpx,,,1099.0,1098.0,2845.5,4.95,2.592,0.0,63.5,68.9,133.4,3.0,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,2727.4,1753210752.0,3.0,20.6,19.5,15.4,0.72,1014.6,3.0,4.2,200.0,0.0,1753189120.0,1753239680.0,0.875,,,0.0,1.0,0.96,19155.0,7.0,,,,,,2.589,0.0,,,,2686.0,0.0,,,,2.484,,,,,,,,""
15234042898,"Jul 25, 2025, 5:36:12 PM",Morning run,Run,"",1317,3.23,,,false,,,activities/15234042898.gpx,,,1317.0,1312.0,3234.0,4.04,2.465,0.0,69.4,62.7,133.2,2.6,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3100.3,1753462784.0,1.0,20.7,22.4,13.9,0.65,1016.4,2.0,3.2,159.0,0.0,1753448448.0,1753498752.0,0.125,,,0.0,1.0,0.2,24815.0,5.0,,,,,,2.456,0.0,,,,2966.0,0.0,,,,2.363,,,,,,,,""
15246923350,"Jul 26, 2025, 10:31:57 PM",After run/walk w Jdub,Run,"",2099,4.19,,,false,,,activities/15246923350.gpx,,,2099.0,2082.0,4194.1,5.21,2.014,27.0,26.2,115.8,136.9,38.7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4261.3,1753567232.0,1.0,24.4,24.2,14.4,0.54,1013.3,4.2,6.3,222.0,0.0,1753534848.0,1753585152.0,0.125,,,0.0,1.0,0.23,29216.0,7.0,,,,,,1.998,0.0,,,,4310.0,0.0,,,,2.047,,,,,,,,""
15371457500,"Aug 7, 2025, 12:38:55 AM",Run w some walks,Run,"",2098,4.85,,,false,,,activities/15371457500.gpx,,,2098.0,2063.0,4853.4,4.58,2.353,2.4,58.9,76.0,133.8,3.8,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4747.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.313,715.6,,,,4452.0,0.0,,,,2.301,,,,,,,,media/C35626BD-4BFA-4FBD-ADCD-3E46E57D65B0.mp4
15392987508,"Aug 8, 2025, 11:42:11 PM",Run from home to tennis club,Run,"",1138,2.86,,,false,,,activities/15392987508.gpx,,,1138.0,1029.0,2865.2,4.26,2.784,0.0,63.3,68.9,132.7,2.6,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,2743.3,,,,,,,,,,,,,,,,,,,,,,,,,,,2.518,0.0,,,,2578.0,0.0,,,,2.666,,,,,,,,media/775B7A11-387A-489F-897E-C4BAB80A04B2.mp4
15422297901,"Aug 11, 2025, 2:48:21 PM",Morning run/walk in Horseshoe !!!,Run,"",3212,6.43,,,false,,,activities/15422297901.gpx,,,3212.0,3137.0,6437.9,4.14,2.052,0.0,0.0,61.3,62.3,5.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6440.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2.004,0.0,,,,6686.0,0.0,,,,2.053,,,,,,,,media/8F52DCB9-998B-41A3-BE84-42F672B60431.jpg|media/7C3DC949-5D2E-4366-92B0-93D17380AA5D.mp4
15434186018,"Aug 12, 2025, 3:13:43 PM",Morning jog in Horseshoe,Run,"",1551,3.22,,,false,,,activities/15434186018.gpx,,,1551.0,1505.0,3227.7,3.72,2.145,0.0,0.0,61.5,62.3,1.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3228.3,,,,,,,,,,,,,,,,,,,,,,,,,,,2.081,0.0,,,,3238.0,0.0,,,,2.145,,,,,,,,media/6132E452-E3C0-4A09-99D9-05316096CDE9.jpg
15502638847,"Aug 18, 2025, 4:25:00 PM",First run/walk back in NOLA #Audubon,Run,"",1612,3.34,,,false,,,activities/15502638847.gpx,,,1612.0,1587.0,3344.5,4.06,2.107,0.0,0.0,1.3,2.6,1.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3346.2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.075,64.5,,,,3428.0,0.0,,,,2.109,,,,,,,,media/60988621-F984-4ED2-A738-59CD9198FA8B.jpg
15583598607,"Aug 25, 2025, 5:27:31 PM",Midday walk,Run,"",1762,3.42,,,false,,,activities/15583598607.gpx,,,1762.0,1744.0,3420.8,3.7,1.961,0.0,0.0,1.3,2.6,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3422.9,,,,,,,,,,,,,,,,,,,,,,,,,,,1.941,55.9,,,,3614.0,0.0,,,,1.963,,,,,,,,""
15687427734,"Sep 3, 2025, 8:03:23 PM",Audubon Afternoon Run,Run,"",1360,3.23,,,false,,,activities/15687427734.gpx,,,1360.0,1350.0,3233.4,9.0,2.395,0.0,0.0,1.3,2.6,1.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.378,56.7,,,,3092.0,0.0,,,,2.396,,,,,,,,""
15744574035,"Sep 8, 2025, 8:35:22 PM",Audubon afternoon run,Run,"",1181,2.83,,,false,,,activities/15744574035.gpx,,,1181.0,1178.0,2838.4,3.4,2.41,0.0,0.0,1.5,2.6,1.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,2840.2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.403,0.0,,,,2690.0,0.0,,,,2.411,,,,,,,,""
15823959123,"Sep 15, 2025, 9:06:39 PM",Afternoon walk,Walk,"",1681,3.22,,,false,,,activities/15823959123.gpx,,,1681.0,1658.0,3224.0,3.52,1.945,0.0,0.0,1.6,2.4,1.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.918,0.0,,,,3520.0,0.0,,,,,,,,,,,,""
15836277431,"Sep 16, 2025, 9:58:54 PM",Afternoon run,Run,"",1638,3.61,,,false,,,activities/15836277431.gpx,,,1638.0,1411.0,3613.8,3.78,2.561,0.0,0.0,1.6,2.4,3.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3616.3,,,,,,,,,,,,,,,,,,,,,,,,,,,2.206,0.0,,,,3426.0,0.0,,,,2.563,,,,,,,,""
15857620699,"Sep 18, 2025, 6:30:21 PM",Afternoon walk,Walk,"",2276,3.51,,,false,,,activities/15857620699.gpx,,,2276.0,2203.0,3512.1,2.4,1.594,0.0,0.0,1.3,2.4,1.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.543,50.5,,,,4252.0,0.0,,,,,,,,,,,,""
15903416691,"Sep 22, 2025, 10:21:49 PM",Walk,Walk,"",695,1.36,,,false,,,activities/15903416691.gpx,,,695.0,677.0,1362.9,9.607,2.013,0.0,0.0,0.5,0.9,1.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.961,0.0,,,,1712.0,0.0,,,,,,,,,,,,""
15923926582,"Sep 24, 2025, 5:19:47 PM",Walk w grace,Walk,"",1967,3.29,,,false,,,activities/15923926582.gpx,,,1967.0,1967.0,3289.9,2.6,1.673,0.0,0.0,1.3,2.4,1.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.673,67.9,,,,3986.0,0.0,,,,,,,,,,,,media/B6478071-5F1B-4B09-BD14-8F0018158950.jpg
15978581820,"Sep 29, 2025, 6:05:34 PM",Audubon,Walk,"",1557,3.30,,,false,,,activities/15978581820.gpx,,,1557.0,1557.0,3299.9,3.5,2.119,0.0,0.0,1.3,2.4,1.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.119,58.8,,,,3446.0,0.0,,,,,,,,,,,,""
16021604225,"Oct 3, 2025, 3:06:24 PM",Family walk,Walk,"",3548,6.11,,,false,,,activities/16021604225.gpx,,,3548.0,3454.0,6112.3,3.2,1.77,36.0,24.0,135.7,166.7,5.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.723,566.3,,,,7146.0,0.0,,,,,,,,,,,,media/855346B0-1D30-45FE-A8C9-6A6DD2032002.mp4
16031864196,"Oct 4, 2025, 2:38:48 PM",Fam walk,Walk,"",2991,5.09,,,false,,,activities/16031864196.gpx,,,2991.0,2630.0,5098.3,14.3,1.939,33.7,21.5,135.7,161.6,20.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.705,1826.7,,,,5602.0,0.0,,,,,,,,,,,,media/38B17AE5-2BF5-4623-B4D3-09A2C31EEDE9.mp4
16032382016,"Oct 4, 2025, 3:42:12 PM",Post matcha walk,Walk,"",1907,3.27,,,false,,,activities/16032382016.gpx,,,1907.0,1892.0,3274.5,2.84,1.731,10.8,20.8,135.7,153.7,6.8,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.717,1682.6,,,,3846.0,0.0,,,,,,,,,,,,""
16068717316,"Oct 7, 2025, 10:28:29 PM",Tuesday Afternoon Run with Runna ✅,Run,"",1827,3.69,,,false,,,activities/17151327770.fit.gz,,,1827.0,1708.0,3698.3,2.988,2.165,0.0,0.0,0.9,2.4,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3698.2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.024,0.0,,,,,0.0,,,,2.165,,,,,,,,""
16078790179,"Oct 8, 2025, 7:36:48 PM",Afternoon walk,Walk,"",2303,4.07,,,false,,,activities/16078790179.gpx,,,2303.0,2303.0,4069.9,4.3,1.767,0.0,0.0,1.1,2.4,2.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.767,112.0,,,,4798.0,0.0,,,,,,,,,,,,""
16090415845,"Oct 9, 2025, 10:04:44 PM",Walk w grace,Walk,"",3080,4.82,,,false,,,activities/16090415845.gpx,,,3080.0,2906.0,4822.0,2.74,1.659,0.0,0.0,0.4,2.4,5.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.566,59.5,,,,5854.0,0.0,,,,,,,,,,,,""
16122352240,"Oct 12, 2025, 10:39:34 PM",Evening walk,Walk,"",2035,3.68,,,false,,,activities/16122352240.gpx,,,2035.0,2017.0,3685.7,3.86,1.827,0.0,0.0,1.6,2.4,1.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.811,0.0,,,,4012.0,0.0,,,,,,,,,,,,""
16131380549,"Oct 13, 2025, 8:59:58 PM",Afternoon run,Run,"",1222,3.22,,,false,,,activities/16131380549.gpx,,,1222.0,1222.0,3225.6,3.48,2.64,0.0,0.0,1.6,2.4,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3227.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64,0.0,,,,3038.0,0.0,,,,2.641,,,,,,,,""
16141860631,"Oct 14, 2025, 7:46:30 PM",Afternoon run,Run,"",1229,3.22,,,false,,,activities/16141860631.gpx,,,1229.0,1229.0,3224.7,3.54,2.624,0.0,0.0,1.6,2.4,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3226.2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.624,0.0,,,,3124.0,0.0,,,,2.625,,,,,,,,""
16149224466,"Oct 15, 2025, 1:38:30 PM",Morning walk,Run,"",1717,3.39,,,false,,,activities/16149224466.gpx,,,1717.0,1636.0,3390.3,3.08,2.072,0.0,0.0,1.6,2.4,1.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3391.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.975,0.0,,,,3674.0,0.0,,,,2.073,,,,,,,,""
16175102236,"Oct 18, 2025, 12:27:34 AM",Evening run,Run,"",1613,4.40,,,false,,,activities/16175102236.gpx,,,1613.0,1561.0,4403.3,3.86,2.821,8.2,80.7,53.8,133.1,3.9,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4275.6,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,0.0,,,,3914.0,0.0,,,,2.739,,,,,,,,""
16353380468,"Nov 4, 2025, 3:40:36 PM",Morning walk,Run,"",1354,2.79,,,false,,,activities/16353380468.gpx,,,1354.0,1354.0,2790.9,3.54,2.061,0.0,0.0,1.6,2.4,1.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,2792.6,,,,,,,,,,,,,,,,,,,,,,,,,,,2.061,0.0,,,,3016.0,0.0,,,,2.062,,,,,,,,""
