Activity ID,Activity Date,Activity Name,Activity Type,Elapsed Time,Distance in kilometers,Moving Time,Total Steps,Media
14903001200,"Jun 24, 2025, 4:50:26 PM",Evening Lisbon run!,Run,1814,4.83,1814,4492,media/93338613-E6A2-4672-AD19-A7633824FD66.mp4|media/FBDAE322-EDED-416E-8D18-5045F36973D0.mp4
14971321647,"Jul 1, 2025, 9:59:38 AM",Midday run from Beaulieu-sur-Mar to Eze!,Run,1698,3.88,1664,3746,media/92D39D3B-795F-46EA-A087-979CFB77AFF8.jpg
15023099317,"Jul 6, 2025, 9:17:55 AM",2 mile run 1 mile walk in Aix-en-Provence,Run,2283,4.83,2172,4896,media/3E1D1735-9A38-468A-B166-34D74D6034B7.jpg|media/CAA75E44-7DDB-4127-91D3-D740A4F24132.jpg|media/EC45E474-1603-4EC8-B4AC-3724086ACFCC.mp4
